=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.06.08 07:16:50 =~=~=~=~=~=~=~=~=~=~=~=
Sec BattV ShuntmV Volt Amp Watt mAh Joule
0.10 12.22 9.39 12.21 18.78 229.28 0.52 22.93
0.20 12.20 9.39 12.19 18.80 229.12 1.04 45.84
0.30 12.17 9.41 12.16 18.82 229.12 1.57 68.73
0.40 12.17 9.43 12.16 18.86 229.28 2.09 91.67
0.50 12.15 9.43 12.14 18.84 228.96 2.61 114.55
0.60 12.14 9.44 12.13 18.92 229.52 3.14 137.50
0.70 10.68 24.48 10.65 48.96 521.52 4.50 189.65
0.80 10.61 24.75 10.59 49.50 524.16 5.87 242.06
0.90 10.52 25.21 10.50 50.42 529.28 7.28 294.98
1.00 10.47 25.39 10.45 50.78 530.56 8.69 348.04
1.10 10.57 24.29 10.55 48.26 509.60 10.03 398.94
1.20 10.54 24.37 10.51 48.82 511.60 11.38 450.26
1.30 10.38 25.78 10.35 51.42 532.32 12.81 503.49
1.40 10.34 25.89 10.31 51.78 534.00 14.25 556.89
1.50 10.33 25.82 10.31 51.64 532.32 15.68 610.12
1.60 10.29 26.09 10.27 52.18 535.84 17.13 663.70
1.70 10.28 26.09 10.25 52.18 534.88 18.58 717.19
1.80 10.27 26.05 10.25 52.10 533.84 20.03 770.58
1.90 10.27 26.01 10.24 52.04 532.96 21.48 823.87
2.00 10.26 25.98 10.23 51.96 531.52 22.92 877.04
2.10 10.32 25.34 10.30 50.40 519.28 24.32 928.93
2.20 10.30 25.37 10.27 50.78 521.44 25.73 981.09
2.30 10.22 26.01 10.19 52.02 529.84 27.17 1034.11
2.40 10.17 26.37 10.15 52.74 535.20 28.64 1087.63
2.50 10.21 25.83 10.19 51.66 526.24 30.07 1140.26
2.60 10.16 26.31 10.13 52.62 533.20 31.54 1193.58
2.70 10.15 26.27 10.12 52.54 531.92 33.00 1246.77
2.80 10.13 26.32 10.11 52.64 532.00 34.46 1299.98
2.90 10.12 26.23 10.10 52.60 531.12 35.92 1353.08
3.00 10.11 26.30 10.09 52.62 531.28 37.38 1406.16
3.10 10.12 26.24 10.10 52.46 529.28 38.84 1459.13
3.20 10.09 26.41 10.06 52.84 531.60 40.31 1512.28
3.30 10.07 26.46 10.04 52.92 532.16 41.78 1565.44
3.40 12.54 17.28 12.52 34.56 432.80 42.74 1608.72
3.50 12.16 9.07 12.15 18.14 220.32 43.24 1630.76
3.60 12.16 9.15 12.15 18.30 222.32 43.75 1652.99
3.70 12.13 9.18 12.12 18.36 222.56 44.26 1675.24
3.80 12.11 9.22 12.10 18.44 223.20 44.77 1697.56
3.90 12.09 9.27 12.08 18.54 224.00 45.28 1719.96
4.00 12.08 9.33 12.07 18.66 225.20 45.80 1742.48
4.10 12.07 9.36 12.06 17.82 229.52 46.30 1763.97
4.20 10.85 0.02 10.85 54.70 578.56 47.82 1823.33
4.30 10.42 27.34 10.39 54.78 568.56 49.34 1880.24
4.40 10.38 27.25 10.35 54.60 564.80 50.86 1936.76
4.50 10.32 27.57 10.29 55.14 567.84 52.39 1993.49
4.60 10.27 27.65 10.24 55.30 566.24 53.92 2050.12
4.70 10.30 27.08 10.28 54.16 556.56 55.43 2105.77
4.80 10.28 27.11 10.25 54.22 555.60 56.93 2161.34
4.90 10.21 27.52 10.18 55.04 560.48 58.46 2217.39
5.00 10.24 27.49 10.21 54.98 561.28 59.99 2273.51
5.10 10.23 26.99 10.21 54.02 551.44 61.49 2328.66
5.20 10.20 27.28 10.17 54.70 555.52 63.01 2384.30
5.30 10.19 27.25 10.16 54.62 554.32 64.53 2439.79
5.40 10.17 27.50 10.14 55.00 557.60 66.05 2495.56
5.50 10.11 27.70 10.08 55.40 558.40 67.59 2551.40
5.60 10.10 27.71 10.07 55.42 558.00 69.13 2607.20
5.70 10.08 27.71 10.06 55.42 557.36 70.67 2662.93
